Galaxy       ncmass   ell    reff   source
IC5052         5.87   0.22    3.3    S06/S08
IRAS09312-32   5.01   0.23    2.3    S06/S08
NGC4144	       4.85   0.17    1.7    S06/S08
NGC4206	       6.78   0.61   16.1    S06/S08
NGC4244	       6.49   0.52    3.1    S06/S08
NGC4517	       6.83   0.15    1.5    S06/S08
NGC5023	       5.34   0.18   11.4    S06/S08
MW	       7.83   0.29    5.7    various
